교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
청담1교,2,서울특별시,강남구,450,19,8,PSCI거더교,B,DB-18,48,13,35,0
잠원고가교,1,서울특별시,서초구,1061,10,2,강박스거더교,B,DB-24,18,24,60,
신천1교,2,서울특별시,송파구,150,16,4,RC슬래브교,B,DB-24,43,10,15,0
상행1교,3,서울특별시,송파구,70,17,4,기타,B,DB-24,38,3,30,
상행2교,3,서울특별시,송파구,20,17,4,기타,B,DB-24,38,1,20,
하행3교,3,서울특별시,송파구,70,17,4,기타,B,DB-24,37,3,30,
하행4교,3,서울특별시,송파구,20,17,4,기타,B,DB-24,37,1,20,
청담2교,1,서울특별시,강남구,500,17.4,4,PSC박스거더교,B,DB-24,38,14,60,
상행3교,3,서울특별시,송파구,40,17.4,6,RC슬래브교,B,DB-24,38,1,40,
하행2교,기타,서울특별시,송파구,15.4,17.4,4,RC슬래브교,B,DB-24,38,1,15.4,
상행4교,기타,서울특별시,강동구,15.4,17.4,4,라멘교,B,DB-24,38,1,15.4,
하행1교,3,서울특별시,강동구,40,17,4,라멘교,B,DB-24,38,3,20,
고덕천교,3,서울특별시,강동구,54,35,8,RC슬래브교,B,DB-24,32,3,21,
영동대교북단E램프교,1,서울특별시,성동구,310,6,1,강박스거더교,B,DB-24,16,7,50,
두모교접속교,3,서울특별시,용산구,66,5,1,라멘교,B,DB-24,18,6,11,
한남대교남단1교,2,서울특별시,서초구,105,8,1,강박스거더교,E,DB-24,22,3,35,
테크노차도육교,3,서울특별시,광진구,38,30,2,프리플렉스거더교,B,DB-24,20,1,38,
잠실대교북단램프D교,3,서울특별시,광진구,70,8,1,강박스거더교,B,DB-24,20,2,40,
영동대교북단램프D교,3,서울특별시,광진구,82,6,1,강박스거더교,B,DB-24,16,2,46,
잠실대교북단램프C교,3,서울특별시,광진구,40,8,1,강박스거더교,B,DB-24,20,1,40,
반포고가,3,서울특별시,서초구,49.9,41.7,10,기타,B,DB-24,18,1,49.9,
개화램프A교,2,서울특별시,강서구,160,8,1,강박스거더교,B,DB-24,10,4,45,
개화램프D교,1,서울특별시,강서구,260,11,2,강박스거더교,B,DB-24,10,5,60,
