교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
진위교,2,경기도,평택시,125,21,4,PSCI거더교,B,DB-24,37,5,25,21443
풍계교,3,경기도,이천시,55,20,2,RC슬래브교,B,DB-24,27,4,15,5654
태평교,3,경기도,여주시,43.8,19.5,4,PSCI거더교,B,DB-24,32,2,21.9,8750
장평교,2,경기도,이천시,105,19.5,4,RC슬래브교,B,DB-24,30,7,15,14150
덕평교,3,경기도,여주시,32,10,2,RC슬래브교,B,DB-24,27,2,16,3739
궁안교(상),2,경기도,평택시,420,10.4,2,프리플렉스거더교,B,DB-24,31,11,38.3,25296
안양교,2,경기도,안성시,105,20,4,RC슬래브교,B,DB-24,30,7,15,21577
보개교,3,경기도,안성시,70,20,4,RC슬래브교,B,DB-24,30,5,15,14095
고촌육교,3,경기도,김포시,45,29,4,강박스거더교,B,DB-24,30,1,45,20508
신원교,3,경기도,이천시,36,19.5,4,라멘교,B,DB-24,25,3,13,15307
길천교,2,경기도,여주시,144.7,19.5,4,PSCI거더교,B,DB-24,25,7,20.7,15307
번천2교,2,경기도,광주시,160,18,4,RC중공슬래브교,B,DB-24,36,8,20,9900
번천1교,3,경기도,광주시,53,17.2,4,RC슬래브교,B,DB-24,36,3,20,10876
신곡교,3,경기도,김포시,34.1,45,8,RC슬래브교,C,DB-24,20,3,13,44004
매상교,3,경기도,평택시,30,20.1,4,PSCI거더교,B,DB-24,30,1,30,8897
궁안교(하),2,경기도,평택시,420,10,2,강박스거더교,B,DB-24,26,11,38.3,25296
신대교,1,경기도,평택시,400,19.5,4,강박스거더교,B,DB-24,26,8,50,25296
숙성라멘교,기타,경기도,평택시,11,19.5,4,라멘교,B,DB-24,26,1,11,19669
숙성교,3,경기도,평택시,36,19.5,4,라멘교,B,DB-24,26,2,18,19669
양복육교,기타,경기도,안성시,12,19.5,4,라멘교,B,DB-24,26,1,12,14095
마전1교,3,경기도,안성시,48,19.5,4,RC슬래브교,B,DB-24,26,3,18,14095
마전2교,3,경기도,안성시,20,19.5,4,라멘교,B,DB-24,26,2,10,14095
두현육교,기타,경기도,안성시,12,19.5,4,라멘교,C,DB-24,26,1,12,12403
중마교,3,경기도,안성시,45,19.5,4,RC슬래브교,C,DB-24,26,3,15,13701
죽산육교,3,경기도,안성시,30,26.3,4,라멘교,B,DB-24,26,2,15,13701
두원육교,기타,경기도,안성시,15,19.5,4,라멘교,C,DB-24,26,1,15,13701
장원육교,기타,경기도,안성시,15,19.5,4,라멘교,B,DB-24,26,1,15,13701
장원교,3,경기도,안성시,97,19.5,4,RC슬래브교,C,DB-24,26,7,15,13701
현곡교,3,경기도,평택시,42,19.5,4,RC슬래브교,B,DB-24,26,3,18,21136
풍무교,기타,경기도,화성시,11,21.5,4,라멘교,C,DB-24,27,1,11,18748
발안교,3,경기도,화성시,24,19.5,4,라멘교,B,DB-24,27,2,12,8033
송문1교,3,경기도,용인시 처인구,80,19.5,4,RC슬래브교,B,DB-24,26,5,17.4,24978
송문2교,3,경기도,용인시 처인구,70,19.5,4,RC슬래브교,B,DB-24,26,5,15.4,24978
송문3교,기타,경기도,용인시 처인구,15,19.5,4,라멘교,B,DB-24,26,1,15,24978
양지1교,3,경기도,용인시 처인구,62,19.5,4,RC슬래브교,B,DB-24,26,4,17,24978
양지2교,기타,경기도,용인시 처인구,16,19.5,4,라멘교,B,DB-24,26,1,16,16976
추계1교,1,경기도,용인시 처인구,156,19.5,4,강박스거더교,B,DB-24,26,3,60,16976
추계2교,1,경기도,용인시 처인구,160,19.5,4,강박스거더교,B,DB-24,26,3,60,16976
오천교,3,경기도,이천시,62,19.5,4,RC슬래브교,B,DB-24,26,4,17,15314
유덕교,3,경기도,화성시,30,19.5,4,라멘교,C,DB-24,27,2,15,26760
둔전육교,기타,경기도,용인시 처인구,12,19.5,4,라멘교,C,DB-24,26,1,12,15291
삼계교,3,경기도,용인시 처인구,30,19.5,4,프리플렉스거더교,B,DB-24,26,1,30,15291
포곡육교,기타,경기도,용인시 처인구,12,19.5,4,라멘교,C,DB-24,26,1,12,15291
초현교,3,경기도,용인시 처인구,21.2,23,4,RC슬래브교,B,DB-24,26,2,10.6,15102
초부교,기타,경기도,용인시 처인구,18.5,19.5,4,라멘교,C,DB-24,26,1,18.5,15102
왕산소교,3,경기도,용인시 처인구,22,22.5,5,RC슬래브교,B,DB-24,26,2,11,14202
매산교,3,경기도,광주시,25,19.5,4,RC슬래브교,B,DB-24,26,2,12.5,14202
양벌육교,3,경기도,광주시,30,19.5,4,프리플렉스거더교,B,DB-24,26,1,30,14202
양벌대교,2,경기도,광주시,211.4,19.5,4,PSCI거더교,B,DB-24,26,7,30.2,14202
고산육교,3,경기도,광주시,90.2,22.5,6,강박스거더교,B,DB-24,26,3,40,14202
군하교,3,경기도,김포시,84,18.5,4,RC슬래브교,B,DB-24,26,6,15,17099
오리교,3,경기도,김포시,50,18.5,4,라멘교,B,DB-24,26,4,14,20163
평택호대교,1,경기도,평택시,660,19.5,4,강박스거더교,B,DB-24,25,11,70,8897
현덕IC교,3,경기도,평택시,30,19.5,4,라멘교,C,DB-24,25,2,15,8850
현덕교,3,경기도,평택시,51,19.5,4,RC중공슬래브교,B,DB-24,25,3,19,7511
안중고가차도,1,경기도,평택시,220,19.5,4,강박스거더교,B,DB-24,25,5,50,16651
신원육교,기타,경기도,이천시,15,19.5,4,라멘교,B,DB-24,25,1,15,15307
백록육교,기타,경기도,이천시,10,19.5,4,라멘교,B,DB-24,25,1,10,15307
능서육교,기타,경기도,여주시,15,19.5,4,라멘교,B,DB-24,25,1,15,16322
신궁1육교,3,경기도,평택시,30.7,19.5,4,PSCI거더교,B,DB-24,26,1,30.7,18104
신궁2육교,3,경기도,평택시,40,19.5,4,강박스거더교,C,DB-24,26,1,40,18104
평궁교,3,경기도,평택시,30.5,27,4,PSCI거더교,B,DB-24,26,1,30.5,18104
안성천2교,1,경기도,평택시,941.6,19.5,4,강박스거더교,B,DB-24,23,29,60,18104
월정육교,기타,경기도,안성시,12,24.7,4,라멘교,B,DB-24,25,1,12,12041
청미교(상),2,경기도,안성시,212.8,10.8,2,PSCI거더교,B,DB-24,25,7,30.4,12041
청미교(하),2,경기도,안성시,212.8,10.8,2,PSCI거더교,B,DB-24,25,7,30.5,12041
행죽교,3,경기도,이천시,25.2,19.5,4,PSCI거더교,B,DB-24,25,1,25.2,5388
행죽육교,기타,경기도,이천시,16,19.5,4,라멘교,B,DB-24,25,1,16,5388
제요교,3,경기도,이천시,75,19.5,4,PSCI거더교,B,DB-24,25,3,25,5481
제요1교,3,경기도,이천시,25.2,19.5,4,PSCI거더교,C,DB-24,25,1,25.2,5481
대서육교,기타,경기도,이천시,15,19.5,4,라멘교,B,DB-24,25,1,16.6,5481
후포교,3,경기도,여주시,60.2,21,4,PSCI거더교,B,DB-24,24,2,30.1,6186
초현교,3,경기도,여주시,90.3,21,4,PSCI거더교,B,DB-24,24,3,30.2,4255
이호대교,1,경기도,여주시,910,21,4,강박스거더교,B,DB-24,24,17,70,13356
이호육교,3,경기도,여주시,30,26,4,프리플렉스거더교,B,DB-24,24,1,30,13356
강천육교,기타,경기도,여주시,18,21,4,라멘교,B,DB-24,24,1,18,13356
간매육교,3,경기도,여주시,40,21,4,프리플렉스거더교,B,DB-24,24,1,40,8326
부평교,3,경기도,여주시,21.7,69,4,라멘교,B,DB-24,24,2,11,8326
한평교,2,경기도,안성시,120.4,19.5,4,PSCI거더교,B,DB-24,28,4,30.2,11047
방초교,3,경기도,안성시,40,19.5,4,RC슬래브교,B,DB-24,27,3,16,11047
고안육교,기타,경기도,용인시 처인구,15,19.5,4,라멘교,C,DB-24,27,1,15,10203
백봉교,3,경기도,용인시 처인구,25,19.5,4,라멘교,A,DB-24,27,2,12.5,10203
원대교,3,경기도,용인시 처인구,42.1,19.5,4,RC슬래브교,B,DB-24,25,3,16,10203
백암교,3,경기도,용인시 처인구,43,29,7,RC슬래브교,B,DB-24,25,3,15.8,10203
근곡교,3,경기도,용인시 처인구,25,19.5,4,라멘교,B,DB-24,27,2,12.5,15051
두창육교,3,경기도,용인시 처인구,50,19.5,4,라멘교,B,DB-24,27,3,20,15051
능교,3,경기도,용인시 처인구,20,19.5,4,라멘교,B,DB-24,27,2,10,15051
희곡육교,2,경기도,평택시,50.1,27.6,4,강박스거더교,B,DB-24,23,1,50.1,6892
양지고가차도,1,경기도,용인시 처인구,230,16.5,4,강박스거더교,B,DB-24,24,5,50,16976
석근육교,기타,경기도,평택시,15,19.5,4,라멘교,B,DB-24,23,1,15,17936
추팔육교,기타,경기도,평택시,15,19.5,4,라멘교,B,DB-24,23,1,15,17936
내리고가차도,2,경기도,안성시,405.7,17.4,4,강박스거더교,B,DB-24,22,9,45.2,21577
오산육교,기타,경기도,용인시 처인구,12,22.5,5,라멘교,B,DB-24,22,1,12,26567
양촌교,3,경기도,용인시 처인구,30,19.5,4,PSCI거더교,B,DB-24,22,1,30,26567
능원교,2,경기도,용인시 처인구,150,19.5,4,PSCI거더교,B,DB-24,22,5,30,26567
능원육교,3,경기도,용인시 처인구,30,19.5,4,PSCI거더교,B,DB-24,22,1,30,26567
동림육교,2,경기도,용인시 처인구,50,27.5,6,강박스거더교,B,DB-24,22,1,50,33063
문형교,1,경기도,광주시,340,19.5,4,강박스거더교,B,DB-24,22,7,50,33063
문형2교,2,경기도,광주시,120,27.5,6,PSCI거더교,B,DB-24,22,4,30,33063
문형육교,3,경기도,광주시,30,19.5,4,PSCI거더교,B,DB-24,22,1,30,33063
추자육교,2,경기도,광주시,50.1,19.5,4,강박스거더교,B,DB-24,22,1,50.1,38403
오포육교,3,경기도,광주시,50,19.5,4,PSCI거더교,B,DB-24,22,2,25,38403
진암교,3,경기도,이천시,30,19.4,4,라멘교,B,DB-24,21,2,15,5654
진암1교,3,경기도,이천시,45,26.8,6,강박스거더교,B,DB-24,21,1,45,5654
진암2교,기타,경기도,이천시,15,19.4,4,라멘교,B,DB-24,21,1,15,5654
진암3교,3,경기도,이천시,80,6.9,1,강박스거더교,B,DB-24,21,3,30,5654
제암육교,2,경기도,화성시,50.1,19.5,4,강박스거더교,B,DB-24,21,1,50.1,29724
발안교,2,경기도,화성시,195,19.5,4,강박스거더교,B,DB-24,21,6,45,29724
제암1육교,3,경기도,화성시,30,28,6,PSCI거더교,B,DB-24,21,1,30,29724
발안1육교,기타,경기도,화성시,15,19.5,4,라멘교,B,DB-24,21,1,15,29724
지월육교,기타,경기도,화성시,15,19.5,4,라멘교,B,DB-24,21,1,15,29724
구장육교,기타,경기도,화성시,15,19.5,4,라멘교,B,DB-24,21,1,15,29724
팔탄육교,3,경기도,화성시,40,19.5,4,강플레이트거더교,B,DB-24,21,1,40,29724
자안교,3,경기도,화성시,40,19.5,4,강플레이트거더교,B,DB-24,21,1,40,28089
자안1육교,3,경기도,화성시,30,23.5,5,PSCI거더교,C,DB-24,21,1,30,28089
자안2육교,3,경기도,화성시,45,19.5,4,강박스거더교,B,DB-24,21,1,45,28089
양노육교,기타,경기도,화성시,15,19.5,4,라멘교,B,DB-24,21,1,15,20219
양노1육교,3,경기도,화성시,25,19.5,4,PSCI거더교,B,DB-24,21,1,25,20219
양노2육교,기타,경기도,화성시,15,28,4,라멘교,B,DB-24,21,1,15,20219
쌍학1육교,3,경기도,화성시,40,23.5,5,RC슬래브교,C,DB-24,21,3,15,20219
쌍학1교,3,경기도,화성시,30,23.5,5,PSCI거더교,C,DB-24,21,1,30,20219
쌍학2교,3,경기도,화성시,30,7.5,1,PSCI거더교,C,DB-24,21,1,30.3,20219
쌍학2육교,2,경기도,화성시,120,23.5,5,PSCI거더교,B,DB-24,21,4,30,28826
쌍학3육교,2,경기도,화성시,50.1,19.5,4,강박스거더교,B,DB-24,21,1,50.1,28826
숙곡교,3,경기도,화성시,75,19.5,4,PSCI거더교,B,DB-24,21,3,25,28826
야목육교,3,경기도,화성시,90,19.5,4,강박스거더교,B,DB-24,21,2,45,28826
율암육교,3,경기도,화성시,40,27.5,6,프리플렉스거더교,B,DB-24,21,1,40,29724
향산교,3,경기도,김포시,20,27.9,6,라멘교,B,DB-24,20,2,10,44004
태리IC육교(상),3,경기도,김포시,40,14,3,강박스거더교,B,DB-24,20,1,40,44004
태리IC육교(하),3,경기도,김포시,40,18,4,강박스거더교,B,DB-24,20,1,40,44004
태리IC램프A교,3,경기도,김포시,39.9,17.5,3,RC슬래브교,B,DB-24,20,3,20,44004
태리IC램프D교,3,경기도,김포시,80,7.5,1,강박스거더교,B,DB-24,20,2,40,44004
장곡IC육교,3,경기도,김포시,45,13.2,2,강박스거더교,B,DB-24,20,1,45,44004
천둥IC육교,3,경기도,김포시,40,13.2,2,강박스거더교,B,DB-24,20,1,40,44004
모산고가차도,2,경기도,안성시,165,18.9,4,강박스거더교,B,DB-24,20,4,45,21577
오천교차1교,기타,경기도,이천시,12,11,2,RC슬래브교,B,DB-24,19,1,12,15314
오천교차2교,기타,경기도,이천시,12,11,2,RC슬래브교,B,DB-24,19,1,12,15314
이치1교,3,경기도,이천시,80,19.5,4,PSCI거더교,B,DB-24,19,2,40,15314
이치2교,3,경기도,이천시,40,19.5,4,PSCI거더교,B,DB-24,19,1,40,15314
도드람교차교,3,경기도,이천시,30,19.5,4,PSCI거더교,A,DB-24,19,1,30,15314
설서교,3,경기도,이천시,28,19.5,4,RC슬래브교,B,DB-24,19,2,14,15314
유산교차교,3,경기도,이천시,30,19.5,4,PSCI거더교,B,DB-24,19,1,30,15314
유산1교,3,경기도,이천시,30,19.5,4,PSCI거더교,B,DB-24,19,1,30,15314
유산2교,2,경기도,이천시,240,19.5,4,PSCI거더교,B,DB-24,19,8,30,15314
복하IC교,2,경기도,이천시,120,23.4,4,PSCI거더교,B,DB-24,19,3,40,15314
장서육교,3,경기도,안성시,90,19.5,4,PSCI거더교,B,DB-24,19,3,30,17117
이동교(상),2,경기도,안성시,120,17.3,4,PSCI거더교,B,DB-24,19,4,30,17117
이동교(하),2,경기도,안성시,120,17.3,4,PSCI거더교,B,DB-24,19,4,30,17117
묘봉교(상),2,경기도,용인시 처인구,180,9.8,2,PSCI거더교,B,DB-24,19,6,30,27169
묘봉교(하),2,경기도,용인시 처인구,180,9.8,2,PSCI거더교,B,DB-24,19,6,30,27169
묘봉육교,3,경기도,용인시 처인구,30,19.5,4,PSCI거더교,B,DB-24,19,1,30,27169
요덕교,2,경기도,용인시 처인구,150,19.5,4,PSCI거더교,B,DB-24,19,5,30,27169
송전1교,3,경기도,용인시 처인구,39,19.5,4,라멘교,B,DB-24,19,3,15,27169
송전육교,3,경기도,용인시 처인구,90,19.5,4,PSCI거더교,B,DB-24,19,3,30,27169
비룡1교,기타,경기도,용인시 처인구,12,19.5,4,RC슬래브교,B,DB-24,19,1,12,30166
비룡2교,2,경기도,용인시 처인구,120,19.5,4,PSCI거더교,B,DB-24,19,4,30,30166
시미육교,3,경기도,용인시 처인구,90,19.5,4,PSCI거더교,B,DB-24,19,3,30,30166
원덕성교,기타,경기도,용인시 처인구,12,19.5,4,RC슬래브교,B,DB-24,19,1,12,30166
덕성1교,2,경기도,용인시 처인구,120,19.5,4,PSCI거더교,B,DB-24,19,4,30,30166
덕성육교,3,경기도,용인시 처인구,90,19.5,4,PSCI거더교,B,DB-24,19,3,30,30166
덕성2교,2,경기도,용인시 처인구,390,19.5,4,PSCI거더교,B,DB-24,19,13,30,30166
원천육교,2,경기도,용인시 처인구,270,18.5,4,PSCI거더교,B,DB-24,19,9,30,37511
원천교,3,경기도,용인시 처인구,39,19.5,4,라멘교,B,DB-24,19,3,15,37511
원촌교,2,경기도,용인시 처인구,210,19.5,4,PSCI거더교,B,DB-24,19,7,30,37511
개월3교,기타,경기도,화성시,12,13,3,라멘교,B,DB-24,20,1,12,4927
청용교,1,경기도,안성시,255,19.5,4,강박스거더교,B,DB-24,18,5,55,19409
칠곡교,2,경기도,안성시,270,19.5,4,PSCI거더교,B,DB-24,18,9,30,19409
동항교,2,경기도,안성시,420,19.5,4,PSCI거더교,B,DB-24,18,14,30,17117
양성교(상),2,경기도,안성시,240,13.3,3,PSCI거더교,B,DB-24,18,8,30,17117
양성교(하),2,경기도,안성시,240,13.3,3,PSCI거더교,B,DB-24,18,8,30,17117
도곡2교,2,경기도,안성시,120,19.5,4,PSCI거더교,B,DB-24,18,4,30,17117
고덕교,2,경기도,평택시,50,21.5,4,강박스거더교,B,DB-24,18,1,50,22263
궁논교,기타,경기도,평택시,15,27.5,6,라멘교,B,DB-24,18,1,15,22263
방축교,기타,경기도,평택시,15,27.5,6,라멘교,B,DB-24,18,1,15,22263
칠곡1교,기타,경기도,안성시,15,29.7,4,라멘교,B,DB-24,18,1,15,21819
양성1교,3,경기도,안성시,40,23,5,강박스거더교,B,DB-24,18,1,40,17117
도곡교(상),3,경기도,안성시,70,13.8,3,RC슬래브교,B,DB-24,18,5,15,17117
도곡교(하),3,경기도,안성시,70,9.7,2,RC슬래브교,B,DB-24,18,5,15,17117
도곡1교,3,경기도,안성시,30,19.5,4,PSCI거더교,B,DB-24,18,1,30,17117
이현교,기타,경기도,안성시,15,19.5,4,라멘교,B,DB-24,18,1,15,17117
구장1교,2,경기도,화성시,120,21,4,PSCI거더교,B,DB-24,18,4,30,22627
구장3교,2,경기도,화성시,120,21,4,PSCI거더교,B,DB-24,18,4,30,22627
가재육교,3,경기도,화성시,45,29,4,프리플렉스거더교,B,DB-24,18,1,45,17934
구장2교,3,경기도,화성시,60,21,4,PSCI거더교,B,DB-24,18,2,30,22627
남양대교,1,경기도,화성시,1230,21,4,강박스거더교,B,DB-24,18,21,60,8701
향산2교(상),2,경기도,김포시,210,13.9,3,PSCI거더교,B,DB-24,17,7,30,44004
향산1교,3,경기도,김포시,30,27.9,6,라멘교,B,DB-24,17,2,15,44004
고촌교,3,경기도,김포시,30,27.9,6,라멘교,A,DB-24,17,2,15,44004
향산2교(하),2,경기도,김포시,210,13.9,3,PSCI거더교,B,DB-24,17,7,30,44004
영릉육교,1,경기도,여주시,330,7.5,1,강박스거더교,B,DB-24,16,8,50,17619
영릉2교(상),2,경기도,여주시,58.2,14.5,3,강박스거더교,B,DB-24,16,1,58.2,17619
영릉2교(하),2,경기도,여주시,58.2,14.5,3,강박스거더교,B,DB-24,16,1,58.2,17619
월송육교,기타,경기도,여주시,40,7,1,PSCI거더교,B,DB-24,16,1,40.1,17619
영릉1교,기타,경기도,여주시,15,34.1,6,라멘교,B,DB-24,16,1,15,17619
영릉IC교,기타,경기도,여주시,30.3,21,4,PSCI거더교,B,DB-24,16,1,30.3,17619
영릉3교,기타,경기도,여주시,30.1,21,4,PSCI거더교,B,DB-24,16,1,30.1,17619
가산IC교,기타,경기도,여주시,35,21,4,PSCI거더교,B,DB-24,16,1,35,6186
가산교,기타,경기도,여주시,80,25,5,강박스거더교,B,DB-24,16,2,40,6186
금의교,3,경기도,화성시,30,21,4,PSCI거더교,B,DB-24,15,1,30,18130
석포1교,기타,경기도,화성시,15,21,4,라멘교,B,DB-24,15,1,15,18130
석포2교,3,경기도,화성시,45,28,6,강박스거더교,B,DB-24,15,1,45,18130
석포3교,3,경기도,화성시,30,23,4,PSCI거더교,B,DB-24,15,1,30,20461
서근교,3,경기도,화성시,30,21,4,PSCI거더교,B,DB-24,15,1,30,20461
덕우1교,기타,경기도,화성시,15,21,4,라멘교,B,DB-24,15,1,15,20461
덕우2교,3,경기도,화성시,30,31.6,4,PSCI거더교,C,DB-24,15,1,30,20461
덕천교,3,경기도,화성시,30,21,4,PSCI거더교,B,DB-24,15,1,30,20461
동방대교,2,경기도,화성시,432,21,4,강박스거더교,B,DB-24,15,9,48,20461
율암교,3,경기도,화성시,30,30,6,프리플렉스거더교,B,DB-24,15,1,30,22627
율암1교,3,경기도,화성시,45,8,1,프리플렉스거더교,B,DB-24,15,1,45,22627
율암2교,3,경기도,화성시,35,8,1,프리플렉스거더교,B,DB-24,15,1,35,22627
멱우1교,기타,경기도,화성시,30.4,32,6,PSCI거더교,B,DB-24,15,1,30.4,10789
멱우교,2,경기도,화성시,284,21,4,강박스거더교,B,DB-24,15,6,49,10789
조암교,2,경기도,화성시,100,28,6,강박스거더교,B,DB-24,15,3,40,10789
봉화교,기타,경기도,화성시,30.3,32,6,PSCI거더교,B,DB-24,15,1,30.3,10789
상봉육교,기타,경기도,용인시 처인구,30,19.5,4,PSCI거더교,B,DB-24,13,1,30.1,10203
기산1교(상),2,경기도,화성시,105,15.2,3,강박스거더교,B,DB-24,15,3,45,26803
기산1교(하),2,경기도,화성시,115,14,3,강박스거더교,B,DB-24,15,3,45,26803
기산2교,기타,경기도,화성시,15,21,6,라멘교,B,DB-24,15,1,15,26803
한반교,기타,경기도,화성시,43,28,8,강박스거더교,B,DB-24,15,1,43,26803
김포아라대교,1,경기도,김포시,550,38.7,8,아치교,A,DB-24,12,5,170,44004
가재교,기타,경기도,화성시,15,30.8,6,라멘교,A,DB-24,9,2,15,17934
하가등천교,기타,경기도,화성시,15,20.9,6,라멘교,A,DB-24,9,1,15,17934
도이교,기타,경기도,화성시,30.1,28.9,4,PSCI거더교,A,DB-24,9,1,30.1,17934
도이IC교(행정IC교),기타,경기도,화성시,80.1,35.4,7,프리플렉스거더교,A,DB-24,9,2,40.1,17934
도이IC램프A교(행정IC램프A교),1,경기도,화성시,290,7.9,1,강박스거더교,B,DB-24,9,6,55,17934
행정교,기타,경기도,화성시,40.1,20.9,4,프리플렉스거더교,B,DB-24,9,1,40.1,17934
자치울교(2+760라멘교),기타,경기도,화성시,12,20.9,4,라멘교,A,DB-24,9,1,12,17934
방축교,기타,경기도,화성시,30.1,20.9,4,PSCI거더교,A,DB-24,9,1,30.1,11070
향남IC교,2,경기도,화성시,50.1,20.9,4,프리플렉스거더교,B,DB-24,9,1,50.1,11070
향남교,기타,경기도,화성시,50,20.9,4,강박스거더교,A,DB-24,9,1,50,11070
요당교,기타,경기도,화성시,30.4,20.9,4,PSCI거더교,A,DB-24,9,1,30.4,11070
요당IC 1교,기타,경기도,화성시,11.8,25,5,라멘교,A,DB-24,9,1,11.8,11070
요당IC 육교,기타,경기도,화성시,25.3,65,4,라멘교,A,DB-24,9,1,25.3,11070
요당IC 2교,기타,경기도,화성시,10,29.3,6,라멘교,A,DB-24,9,1,10.1,11070
요당IC RAMP-A교,1,경기도,화성시,480.3,10.5,2,강박스거더교,B,DB-24,9,8,70,11070
요당IC Ramp-B교,기타,경기도,화성시,11.3,20.8,2,라멘교,A,DB-24,9,1,11.3,11070
황구지천교(상),1,경기도,화성시,340,17.1,4,강박스거더교,B,DB-24,10,6,60,26803
황구지천교(하),1,경기도,화성시,350,17.7,4,강박스거더교,B,DB-24,10,6,65,26803
진안1육교(상),1,경기도,화성시,267.5,17.9,4,강박스거더교,B,DB-24,10,5,70,26803
진안1육교(하),1,경기도,화성시,235,17.1,4,강박스거더교,B,DB-24,10,4,72.5,26803
대쌍교(상),1,경기도,광주시,320,14.3,3,PSC박스거더교,B,DB-24,10,6,55,40914
대쌍교(하),1,경기도,광주시,330,14.3,3,PSC박스거더교,B,DB-24,10,7,55,40914
쌍동IC교(상),1,경기도,광주시,160,14,3,강박스거더교,B,DB-24,10,3,60,40914
쌍동IC교(하),1,경기도,광주시,160,14,3,강박스거더교,B,DB-24,10,3,60,40914
쌍동IC RAMP-B교,1,경기도,광주시,130,8,1,강박스거더교,B,DB-24,10,3,50,40914
쌍동IC RAMP-E교,1,경기도,광주시,130,8,1,강박스거더교,B,DB-24,10,3,50,40914
곤지암천교(하),2,경기도,광주시,225,18,4,PSCI거더교,B,DB-24,10,5,45,40914
곤지암천교(상),2,경기도,광주시,225,14,3,PSCI거더교,B,DB-24,10,5,45,40914
경안대교(상),1,경기도,광주시,1359,14.3,3,엑스트라도즈드교,B,DB-24,10,24,130,60805
경안대교(하),1,경기도,광주시,1359,14.3,3,엑스트라도즈드교,B,DB-24,10,24,130,60805
고촌램프D육교,2,경기도,김포시,129,7,1,강박스거더교,B,DB-24,10,3,49,44004
선돌교,기타,경기도,여주시,13,20.9,4,라멘교,A,DB-24,8,1,13,7899
청안1교,기타,경기도,여주시,13,43.9,4,라멘교,A,DB-24,8,1,14.8,7899
청안2교,기타,경기도,여주시,35,20.9,4,프리플렉스거더교,A,DB-24,8,1,35,7899
점동교(상),2,경기도,여주시,431,10.3,2,PSCI거더교,B,DB-24,8,13,40.3,7899
덕평1교,기타,경기도,여주시,10.3,33.4,4,라멘교,A,DB-24,8,1,13.6,3739
점동교(하),2,경기도,여주시,430,10.9,2,PSCI거더교,B,DB-24,8,13,40,7899
화산1교,기타,경기도,화성시,40,20.9,4,PSCI거더교,A,DB-24,8,1,40.1,26803
화산2교(상),기타,경기도,화성시,23,10.3,2,라멘교,A,DB-24,8,1,25.3,26803
화산3교(상),기타,경기도,화성시,40,10.1,2,기타,A,DB-24,8,1,40.4,26803
화산2교(하),기타,경기도,화성시,23,10.7,2,라멘교,A,DB-24,8,1,25.3,26803
화산3교(하),기타,경기도,화성시,40,10.1,2,기타,A,DB-24,8,1,40.4,26803
보통1교(상),기타,경기도,화성시,45,14.4,3,강박스거더교,A,DB-24,8,1,45,26803
보통1교(하),기타,경기도,화성시,45,14.4,3,강박스거더교,A,DB-24,8,1,45,26803
보통2교(상),기타,경기도,화성시,30,10.4,2,프리플렉스거더교,A,DB-24,8,1,30,26803
보통2교(하),기타,경기도,화성시,30,10.4,2,프리플렉스거더교,A,DB-24,8,1,30,26803
보통3교(하),2,경기도,화성시,50,10.4,2,강박스거더교,B,DB-24,8,1,50,26803
보통3교(상),2,경기도,화성시,50,10.4,2,강박스거더교,B,DB-24,8,1,50,26803
만년교(상),기타,경기도,화성시,99,10.7,3,강박스거더교,A,DB-24,8,2,49.5,26803
왕림교(상),기타,경기도,화성시,30,16.7,4,프리플렉스거더교,A,DB-24,8,1,30,26760
보통 RAMPC교,2,경기도,화성시,50,7.9,1,강박스거더교,B,DB-24,8,1,50,26803
보통 RAMPD교,2,경기도,화성시,50,7.9,1,강박스거더교,B,DB-24,8,1,50,26803
수기1교(상),기타,경기도,화성시,15,10.1,2,라멘교,A,DB-24,8,1,16.6,26803
수기2교(상),2,경기도,화성시,105,10.7,2,프리플렉스거더교,B,DB-24,8,3,35,26803
만년교(하),기타,경기도,화성시,99,10.4,2,강박스거더교,A,DB-24,8,2,49.5,26803
수기1교(하),기타,경기도,화성시,15,10.7,2,라멘교,A,DB-24,8,1,16.6,26803
왕림교(하),기타,경기도,화성시,30,16.7,4,프리플렉스거더교,A,DB-24,8,1,30,26760
수기2교(하),2,경기도,화성시,105,10.1,2,프리플렉스거더교,B,DB-24,8,3,35,26803
매산교,기타,경기도,안성시,18,22.7,4,라멘교,A,DB-24,8,1,20.4,11047
죽산1교(상),1,경기도,안성시,375,10.1,2,강박스거더교,B,DB-24,8,8,55,11047
죽산1교(하),1,경기도,안성시,385,10.7,2,강박스거더교,B,DB-24,8,8,55,11047
RAMP-D교,2,경기도,안성시,120,11.4,1,PSCI거더교,B,DB-24,8,3,40,11047
RAMP-A교,2,경기도,안성시,180,15.4,1,PSCI거더교,B,DB-24,8,4,45,11047
장원1교,기타,경기도,안성시,30,20.9,4,PSC슬래브교,A,DB-24,8,1,30,7587
용설1교,2,경기도,안성시,150,20.9,4,PSCI거더교,B,DB-24,8,5,30,7587
용설2교,기타,경기도,안성시,30,20.9,4,PSCI거더교,A,DB-24,8,1,30,7587
용설3교,1,경기도,안성시,150,20.9,4,강박스거더교,B,DB-24,8,3,60,7587
당목교,기타,경기도,안성시,45.7,20.9,4,PSCI거더교,A,DB-24,8,1,45.7,7587
